자치구,한식일반음식점 사업체수,부동산중개및대리업 사업체수,두발미용업 사업체수,커피전문점 사업체수,남녀용 겉옷 및 셔츠 도매업 사업체수,다수업종 상위10.14,일반 교과 학원 사업체수,한식 육류요리 전문점 사업체수
강남구,"2,415","2,337","1,241","1,624",384,713,"1,426",827
강동구,"1,101","1,188",900,546,59,589,620,428
강북구,965,589,673,358,40,580,220,362
강서구,"1,325","1,311","1,015",690,78,794,672,581
관악구,"1,226","1,010",895,581,31,658,354,422
광진구,963,871,746,590,89,633,413,467
구로구,"1,048",789,729,421,114,576,336,428
금천구,867,671,488,383,200,391,153,300
노원구,866,714,782,535,30,355,735,428
도봉구,672,515,600,288,22,258,351,302
동대문구,"1,236",842,611,494,211,499,302,442
동작구,765,883,651,486,20,439,407,331
마포구,"1,411","1,149",896,"1,369",96,"1,011",469,701
서대문구,863,667,598,370,22,497,361,311
서초구,"1,564","1,457",676,"1,012",157,446,812,445
성동구,956,801,489,547,149,285,258,400
성북구,973,846,739,457,85,512,464,365
송파구,"1,575","1,677","1,137",975,147,628,876,639
양천구,831,922,838,402,25,415,"1,284",281
영등포구,"1,738",986,673,838,76,636,288,494
용산구,857,791,366,634,54,487,104,300
은평구,881,"1,134",947,457,26,484,551,476
종로구,"1,548",549,261,948,400,537,110,437
중구,"1,588",576,339,869,"10,810",381,57,443
중랑구,991,738,790,381,63,535,288,499
