time,PM10,PM25,CO,NO2,기온(°C),일사(MJ/m2),습도(%),강수량(mm),풍속(m/s),month,day,PM10_Lag1
2021-10-01 00:00:00,31.0,18.0,0.6,0.039,19.2,0.03,83,0.0,1.3,10,1,0.0
2021-10-01 01:00:00,27.0,16.0,0.6,0.035,18.7,0.03,85,0.0,1.0,10,1,0.0
2021-10-01 02:00:00,28.0,18.0,0.6,0.033,18.3,0.03,89,0.0,0.3,10,1,0.0
2021-10-01 03:00:00,26.0,16.0,0.6,0.03,17.7,0.03,92,0.0,2.0,10,1,0.0
2021-10-01 04:00:00,26.0,16.0,0.5,0.026,17.4,0.03,91,0.0,1.0,10,1,0.0
2021-10-01 05:00:00,22.0,14.0,0.5,0.025,17.2,0.03,94,0.0,1.3,10,1,0.0
2021-10-01 06:00:00,25.0,14.0,0.5,0.024,17.0,0.03,94,0.0,1.9,10,1,0.0
2021-10-01 07:00:00,24.0,14.0,0.5,0.023,17.0,0.03,95,0.0,0.8,10,1,0.0
2021-10-01 08:00:00,23.0,12.0,0.5,0.02,17.5,0.27,93,0.0,3.8,10,1,0.0
2021-10-01 09:00:00,40.0,22.0,0.6,0.016,19.8,0.97,86,0.0,2.6,10,1,0.0
2021-10-01 10:00:00,49.0,29.0,0.5,0.014,21.4,1.81,76,0.0,3.0,10,1,0.0
2021-10-01 11:00:00,43.0,24.0,0.5,0.017,23.0,2.35,70,0.0,2.2,10,1,0.0
2021-10-01 12:00:00,43.0,27.0,0.6,0.021,24.6,2.66,65,0.0,1.1,10,1,0.0
2021-10-01 13:00:00,42.0,24.0,0.5,0.02,26.0,2.7,56,0.0,1.1,10,1,0.0
2021-10-01 14:00:00,40.0,26.0,0.5,0.017,27.2,2.55,50,0.0,2.1,10,1,0.0
2021-10-01 15:00:00,39.0,20.0,0.4,0.014,27.2,2.25,45,0.0,3.3,10,1,0.0
2021-10-01 16:00:00,42.0,22.0,0.5,0.016,26.9,1.63,47,0.0,2.7,10,1,0.0
2021-10-01 17:00:00,44.0,25.0,0.5,0.017,25.7,0.88,56,0.0,2.8,10,1,0.0
2021-10-01 18:00:00,43.0,25.0,0.5,0.023,23.9,0.31,59,0.0,3.2,10,1,0.0
2021-10-01 19:00:00,48.0,28.0,0.6,0.022,22.5,0.01,66,0.0,2.9,10,1,0.0
2021-10-01 20:00:00,51.0,33.0,0.5,0.016,21.8,0.01,72,0.0,2.4,10,1,0.0
2021-10-01 21:00:00,45.0,28.0,0.5,0.019,21.5,0.01,75,0.0,3.4,10,1,0.0
2021-10-01 22:00:00,33.0,24.0,0.3,0.01,21.4,0.01,79,0.0,4.0,10,1,0.0
2021-10-01 23:00:00,11.0,6.0,0.3,0.015,17.2,0.01,88,12.7,3.7,10,1,0.0
2021-10-02 00:00:00,10.0,7.0,0.3,0.012,17.0,0.01,90,0.6,2.9,10,2,31.0
2021-10-02 01:00:00,9.0,6.0,0.3,0.014,16.6,0.01,90,0.0,1.8,10,2,27.0
2021-10-02 02:00:00,9.0,8.0,0.3,0.015,16.8,0.01,91,0.0,0.9,10,2,28.0
2021-10-02 03:00:00,10.0,7.0,0.4,0.016,16.6,0.01,93,0.0,0.9,10,2,26.0
2021-10-02 04:00:00,11.0,9.0,0.4,0.016,16.7,0.01,93,0.0,1.3,10,2,26.0
2021-10-02 05:00:00,11.0,7.0,0.4,0.019,16.5,0.01,95,0.0,1.2,10,2,22.0
2021-10-02 06:00:00,13.0,7.0,0.4,0.022,16.6,0.01,94,0.0,1.3,10,2,25.0
2021-10-02 07:00:00,14.0,7.0,0.4,0.03,16.9,0.01,94,0.0,0.9,10,2,24.0
2021-10-02 08:00:00,15.0,7.0,0.4,0.028,17.5,0.13,95,0.0,1.9,10,2,23.0
2021-10-02 09:00:00,18.0,7.0,0.5,0.028,18.8,0.8,91,0.0,1.9,10,2,40.0
2021-10-02 10:00:00,24.0,11.0,0.4,0.025,20.9,1.72,81,0.0,0.9,10,2,49.0
2021-10-02 11:00:00,26.0,13.0,0.4,0.022,21.7,1.33,77,0.0,0.7,10,2,43.0
2021-10-02 12:00:00,30.0,16.0,0.4,0.019,23.5,2.62,64,0.0,1.8,10,2,43.0
2021-10-02 13:00:00,34.0,20.0,0.4,0.019,24.2,2.39,61,0.0,2.3,10,2,42.0
2021-10-02 14:00:00,31.0,21.0,0.4,0.016,25.7,2.63,55,0.0,2.4,10,2,40.0
2021-10-02 15:00:00,28.0,14.0,0.4,0.014,26.2,2.32,54,0.0,2.2,10,2,39.0
2021-10-02 16:00:00,31.0,19.0,0.4,0.015,26.1,1.65,53,0.0,3.0,10,2,42.0
2021-10-02 17:00:00,32.0,19.0,0.5,0.02,25.2,0.98,55,0.0,3.1,10,2,44.0
2021-10-02 18:00:00,38.0,25.0,0.5,0.027,23.7,0.33,58,0.0,2.2,10,2,43.0
2021-10-02 19:00:00,40.0,25.0,0.6,0.03,22.5,0.01,64,0.0,0.7,10,2,48.0
